"document_id","field_name","status","answer_raw","answer_normalized","matched_expression","representative_source_type","representative_location","source_excerpt_redacted","additional_locations","confidence","review_reason","decision_note","source_review_completed","source_review_method","reviewer","source_context_note","discarded_candidates","discarded_reason"
"RFP-000041","제출 방식","value_present","서울시여성가족재단(서울여성플라자 5층 기획팀)에 제출","서울시여성가족재단(서울여성플라자 5층 기획팀)에 제출","제출장소","body_sentence","{""document_id"":""RFP-000041"",""file"":""서울특별시 여성가족재단_(재공고, 협상) 서울 디지털성범죄 안심지원센.md"",""heading"":""제출장소"",""line"":1304}","제출장소
<제안서 제출>
서울시여성가족재단
(서울여성플라자 5층
기획팀, [이름 가림] 대리,","[{""heading"":""<제안서 제출>"",""line"":1308,""source_type"":""body_sentence""},{""heading"":""서울시여성가족재단"",""line"":1310,""source_type"":""body_sentence""},{""heading"":""(서울여성플라자 5층"",""line"":1312,""source_type"":""body_sentence""},{""heading"":""기획팀, [이름 가림] 대리,"",""line"":1314,""source_type"":""body_sentence""}]","semantic_reviewed","","줄바꿈으로 분리된 제출장소 셀을 한 값으로 결합","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","입찰 참가등록 및 제안서 제출 절의 제출장소와 기관·층·부서 연속 셀","공고방법: 나라장터","공고 게시 방식이지 제안서 제출 방식이 아님"
"RFP-000007","제출 방식","value_present","기술제안서는 실물(USB 포함)과 전자(PDF)를 병행 제출한다. 실물은 협력단 원조조달기업지원센터 방문 또는 우편(택배·퀵), 전자는 전자조달시스템과 전자우편으로 제출한다. 가격제안서는 입찰공고서에 따른다.","기술제안서는 실물(USB 포함)과 전자(PDF)를 병행 제출한다. 실물은 협력단 원조조달기업지원센터 방문 또는 우편(택배·퀵), 전자는 전자조달시스템과 전자우편으로 제출한다. 가격제안서는 입찰공고서에 따른다.","제안서 제출","body_sentence","{""document_id"":""RFP-000007"",""file"":""KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .md"",""heading"":""2) 입찰서(기술제안서 포함) 제출방법"",""line"":1867}","2) 입찰서(기술제안서 포함) 제출방법
ㅇ 기술제안서 : 실물 기술제안서(USB포함)와 전자 기술제안서(PDF) 병행 제출
- 실물 기술제안서 : 협력단 원조조달기업지원센터 방문 제출 또는 우편(택배/퀵) 제출 허용
- 전자 기술제안서 :‘전자조달시스템’상 기술제안서 전자파일 그리고 전자우편 제출
ㅇ 가격제안서 : 입찰공고서에 의함.","[{""heading"":""ㅇ 기술제안서 : 실물 기술제안서(USB포함)와 전자 기술제안서(PDF) 병행 제출"",""line"":1869,""source_type"":""body_sentence""},{""heading"":""- 실물 기술제안서 : 협력단 원조조달기업지원센터 방문 제출 또는 우편(택배/퀵) 제출 허용"",""line"":1871,""source_type"":""body_sentence""},{""heading"":""- 전자 기술제안서 :‘전자조달시스템’상 기술제안서 전자파일 그리고 전자우편 제출"",""line"":1873,""source_type"":""body_sentence""},{""heading"":""ㅇ 가격제안서 : 입찰공고서에 의함."",""line"":1877,""source_type"":""body_sentence""}]","semantic_reviewed","","기관명만 값으로 잡은 후보를 버리고 실물·전자 제출 절 전체를 결합","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","제안서 제출 절의 실물·전자 제출 방법과 가격제안서 외부 공고 참조","한국국제협력단","기관명일 뿐 제출 방법이 아님"
"RFP-000055","제출 방식","value_present","제안서 및 제출서류는 전자조달시스템으로 제출한다.","제안서 및 제출서류는 전자조달시스템으로 제출한다.","전자조달시스템","body_sentence","{""document_id"":""RFP-000055"",""file"":""재단법인 한국장애인문화예술원_2024년 장애인문화예술정보시스템 이음.md"",""heading"":""<tr><td>2</td><td>제안서(첨부자료 포함)<br>* 제안서 및 제출서류 전자조달시스템 제출<br>** 실적서 제출시 서식 제 5호(용역실적 증명서) 혹은 나라장터 내 발급 서류 제출가능</td><td r"",""line"":942}","<tr><td>2</td><td>제안서(첨부자료 포함)<br>* 제안서 및 제출서류 전자조달시스템 제출<br>** 실적서 제출시 서식 제 5호(용역실적 증명서) 혹은 나라장터 내 발급 서류 제출가능</td><td rowspan=""2"">3~8호</td></tr>","","semantic_reviewed","","콘텐츠 기획안 요구가 아니라 실제 제출 경로로 확정","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","제안서 및 제출서류의 제출 방법을 명시한 문장","제안 시 콘텐츠 기획안","제안서 내용 요구이지 제출 방식이 아님"
"RFP-000079","제출 방식","value_present","정성·정량 제안서, 제안요약서, 발표자료 및 기타 서류는 e-발주시스템에 PDF로 제출하고, 가격제안서는 우편 또는 인편으로 제출한다.","정성·정량 제안서, 제안요약서, 발표자료 및 기타 서류는 e-발주시스템에 PDF로 제출하고, 가격제안서는 우편 또는 인편으로 제출한다.","e-발주시스템","body_table","{""document_id"":""RFP-000079"",""file"":""한국산업단지공단_산단 안전정보시스템 1차 구축 용역.md"",""heading"":""<tr><th>문서구분</th><th>제출서류(e-발주시스템 제출서류)</th></tr>"",""line"":1428}","<tr><th>문서구분</th><th>제출서류(e-발주시스템 제출서류)</th></tr>
<tr><td>문서구분</td><td>제출서류(우편 또는 인편 제출서류)</td></tr>
※ ‘정성제안서’, ‘정량제안서’, ‘제안요약서’, ‘발표자료’는 e-발주시스템상 문서구분 1개씩만 생성가능하며 생성된 구분항목별로 1개의 PDF 파일로 업로드 가능
※ 가격제안서는 e-발주시스템 업로드 불가➝우편 또는 인편으로 제출할 것","[{""heading"":""<tr><td>문서구분</td><td>제출서류(우편 또는 인편 제출서류)</td></tr>"",""line"":1446,""source_type"":""body_table""},{""heading"":""※ ‘정성제안서’, ‘정량제안서’, ‘제안요약서’, ‘발표자료’는 e-발주시스템상 문서구분 1개씩만 생성가능하며 생성된 구분항목별로 1개의 PDF 파일로 업로드 가능"",""line"":1450,""source_type"":""body_table""},{""heading"":""※ 가격제안서는 e-발주시스템 업로드 불가➝우편 또는 인편으로 제출할 것"",""line"":1454,""source_type"":""body_table""}]","semantic_reviewed","","기술서류의 전자 제출과 가격서류의 우편·인편 제출을 함께 확정","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","입찰 관련 서류 제출 안내표와 가격제안서 제출 주의사항","field_absent","현재 문서에 제출 방법이 명시돼 있음"
"RFP-000083","사업기간","value_present","착수일로부터 365일간(12개월)","착수일로부터 365일간(12개월)","과업기간","front_matter","{""document_id"":""RFP-000083"",""file"":""한국수자원공사_건설통합시스템(CMS) 고도화.md"",""heading"":""### 5. 과업수행 기간 : 착수일로부터 365일간 (12개월)"",""line"":91}","### 5. 과업수행 기간 : 착수일로부터 365일간 (12개월)
본 과업의 과업수행기간은 착수일로부터 365일간(12개월)으로 하고, 다음의 경우 감독원과 협의하여 조정할 수 있다.","[{""heading"":""본 과업의 과업수행기간은 착수일로부터 365일간(12개월)으로 하고, 다음의 경우 감독원과 협의하여 조정할 수 있다."",""line"":132,""source_type"":""front_matter""}]","semantic_reviewed","","비용 산정용 11.41개월이 아니라 공식 과업기간으로 확정","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","문서 앞부분 과업 개요와 본문에 반복된 공식 과업기간","11.41개월","인건비 산정을 위한 계산값이지 계약 기간이 아님"
"RFP-000058","사업기간","value_present","착수일로부터 2025년 11월 14일까지","착수일로부터 2025년 11월 14일까지","과업기간","front_matter","{""document_id"":""RFP-000058"",""file"":""재단법인충북연구원_GIS통계 기반 재난안전데이터 분석ㆍ관리 시스템 구.md"",""heading"":""○ 과업비/과업기간 : 100,000천원 / 착수일로부터 2025년 11월 14일까지"",""line"":39}","○ 과업비/과업기간 : 100,000천원 / 착수일로부터 2025년 11월 14일까지","","semantic_reviewed","","과업비와 같은 줄에 있는 기간 부분만 분리해 확정","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","문서 앞부분 과업비·과업기간 한 줄 표기","field_absent","현재 문서에 종료일이 명시돼 있음"
"RFP-000058","예산","value_present","100,000천원","100,000천원","과업비","front_matter","{""document_id"":""RFP-000058"",""file"":""재단법인충북연구원_GIS통계 기반 재난안전데이터 분석ㆍ관리 시스템 구.md"",""heading"":""○ 과업비/과업기간 : 100,000천원 / 착수일로부터 2025년 11월 14일까지"",""line"":39}","○ 과업비/과업기간 : 100,000천원 / 착수일로부터 2025년 11월 14일까지","","semantic_reviewed","","기간 문구를 섞지 않고 예산 금액만 분리해 확정","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","문서 앞부분 과업비·과업기간 한 줄 표기","100,000천원 / 착수일로부터 2025년 11월 14일까지","예산 필드에 사업기간까지 섞인 값"
"RFP-000085","사업기간","value_present","착수일로부터 14개월(420일간)","착수일로부터 14개월(420일간)","과업수행기간","body_sentence","{""document_id"":""RFP-000085"",""file"":""한국수자원공사_용인 첨단 시스템반도체 국가산단 용수공급사업 타당성.md"",""heading"":""이 용역의 과업기간은 착수일로부터 14개월(420일간)로 하고, 계약상대자는 「용역계약일반조건」 제18조의 3항, 제19조, 제24조 및 다음의 경우에 사장 또는 그 위임을 받은 자에게 서면으로 계약기간의 변경을 청"",""line"":103}","이 용역의 과업기간은 착수일로부터 14개월(420일간)로 하고, 계약상대자는 「용역계약일반조건」 제18조의 3항, 제19조, 제24조 및 다음의 경우에 사장 또는 그 위임을 받은 자에게 서면으로 계약기간의 변경을 청구할 수 있다.","","semantic_reviewed","","현재 용역의 과업수행기간을 직접 명시한 문장으로 확정","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","1.5 과업수행기간 절의 첫 문장","field_absent","현재 문서에 기간이 명시돼 있음"
"RFP-000043","사업 개요","value_present","서울특별시교육청 지능정보화전략계획(ISP) 수립(2차)","서울특별시교육청 지능정보화전략계획(ISP) 수립(2차)","사업명","body_sentence","{""document_id"":""RFP-000043"",""file"":""서울특별시교육청_서울특별시교육청 지능정보화전략계획(ISP) 수립(2차) .md"",""heading"":""가. 사업명 : 서울특별시교육청 지능정보화전략계획(ISP) 수립(2차)"",""line"":248}","가. 사업명 : 서울특별시교육청 지능정보화전략계획(ISP) 수립(2차)","","semantic_reviewed","","목차 항목 나열을 버리고 실제 사업명으로 확정","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","제안 요청내용 절의 사업명 명시문","추진배경 및 필요성 주요 사업내용 기대효과","목차 항목 나열이지 사업 개요 값이 아님"
"RFP-000040","컨소시엄 요건","value_present","공동수급(공동이행방식) 참가 가능; 공동수급 표준협정서·합의각서와 구성원별 입찰서류를 제출하고, 주·부사업자 업무범위·책임관계·조직도를 제시한다.","공동수급(공동이행방식) 참가 가능; 공동수급 표준협정서·합의각서와 구성원별 입찰서류를 제출하고, 주·부사업자 업무범위·책임관계·조직도를 제시한다.","공동도급","body_table","{""document_id"":""RFP-000040"",""file"":""서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차.md"",""heading"":""<tr><td colspan=\""2\"">⑤ 사업자등록증 사본 및 소프트웨어사업자 일반 현황 관리<br>확인서 사본 각 1부(원본과 상위없음 명기 후 인감<br>인)<br>⑥ 「중소기업 범위 및 확인에 관한 규정」에 따라"",""line"":1011}","<tr><td colspan=""2"">⑤ 사업자등록증 사본 및 소프트웨어사업자 일반 현황 관리<br>확인서 사본 각 1부(원본과 상위없음 명기 후 인감<br>인)<br>⑥ 「중소기업 범위 및 확인에 관한 규정」에 따라 발급된<br>소기업확인서 및 직접생산확인증명서 각1부<br>⑦ 법인등기부등본 및 법인 인감증명서 각 1부(개인사업자인<br>경우 주민등록등본 및 인감증명서 각 1부)<br>: 인감(사용인감) 지참, 사용인감 사용 시 사용인감계 별도 제출<br>※ 행정정보공동이용 서비스를 활용하여 업체 자격 확인 가능<br>(직접 제출방식을 안할 경우)<br>⑧ 청렴계약이행서약서 1부<br>⑨ 협상에 의한 계약 신인도(감점) 각서 1부<br>⑩ 공동도급인 경우<br>- 공동수급 표준협정서(공동이행방식) 1부<br","[{""heading"":""### ❍ 공동수급 형태로 제안할 경우에는 주사업자와 부사업자 간의 업무수행"",""line"":1156,""source_type"":""body_table""},{""heading"":""### 범위를 상세히 정의하고 책임관계를 명확히 하여야 하며, 조직도를 제시"",""line"":1158,""source_type"":""body_table""},{""heading"":""### 하여야 한다."",""line"":1160,""source_type"":""body_table""}]","semantic_reviewed","","하도급 평가 문구를 버리고 실제 공동수급 참가·제출 조건으로 확정","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","입찰 제출서류의 공동도급 조건과 공동수급 제안 시 역할·책임 요구","하도급계약 적정성 평가","컨소시엄 허용 여부가 아닌 하도급 규정"
"RFP-000048","컨소시엄 요건","value_present","공동수급(공동이행방식) 참가 가능; 역할분담 비율을 기재하고, 5개사 이하·구성원별 최소 지분율 10% 이상으로 구성하며 협정서에 주사업자를 명기한다.","공동수급(공동이행방식) 참가 가능; 역할분담 비율을 기재하고, 5개사 이하·구성원별 최소 지분율 10% 이상으로 구성하며 협정서에 주사업자를 명기한다.","공동수급","body_sentence","{""document_id"":""RFP-000048"",""file"":""을지대학교_을지대학교 비교과시스템 개발.md"",""heading"":""● 공동수급(공동이행방식)의 형태로 참가할 경우, 아래 사항을 준수하여야 함"",""line"":1317}","● 공동수급(공동이행방식)의 형태로 참가할 경우, 아래 사항을 준수하여야 함
① 공동수급 구성 시에는 반드시 역할분담에 따른 업무비율을 기재하여야 함
② 공동수급체는 5개 이하로 구성하여야 하며, 구성원별 계약참여 최소지분율은 10% 이상([공동계약운용요령 (기획재정부계약예규) 제4조 및 제9조] 참조)이어야 함
③ 공동수급의 형태로 입찰에 참여하는 경우 협정서에 주 사업자를 반드시 명기하여야 하며, 주 사업자는 사업추진, 품질보증 등의 전체적인 사업수행에 대한 권한을 갖고 모든 책임을 짐","[{""heading"":""① 공동수급 구성 시에는 반드시 역할분담에 따른 업무비율을 기재하여야 함"",""line"":1319,""source_type"":""body_sentence""},{""heading"":""② 공동수급체는 5개 이하로 구성하여야 하며, 구성원별 계약참여 최소지분율은 10% 이상([공동계약운용요령 (기획재정부계약예규) 제4조 및 제9조] 참조)이어야 함"",""line"":1321,""source_type"":""body_sentence""},{""heading"":""③ 공동수급의 형태로 입찰에 참여하는 경우 협정서에 주 사업자를 반드시 명기하여야 하며, 주 사업자는 사업추진, 품질보증 등의 전체적인 사업수행에 대한 권한을 갖고 모든 책임을 짐"",""line"":1323,""source_type"":""body_sentence""}]","semantic_reviewed","","하도급 평가 문구를 버리고 실제 공동수급 구성 조건으로 확정","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","공동수급 참가 시 역할·구성원 수·지분율·주사업자 조건","하도급계약 적정성 판단","컨소시엄 허용 조건이 아닌 하도급 규정"
"RFP-000047","지역제한","field_absent","","","지역업체 참여 지분율","","","","","semantic_reviewed","","지역업체 가점 표를 참가 지역제한으로 사용하지 않음","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","울산지역업체 참여비율에 따른 평가 점수일 뿐 참가 자격 제한은 아님","지역업체 참여 지분율","평가 가점이지 입찰 참가 지역제한이 아님"
"RFP-000014","참가 자격(면허·실적)","field_absent","","","입찰참가자격 제한","","","","","semantic_reviewed","","제재 문장을 현재 입찰 참가 자격으로 사용하지 않음","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","산출물 반출 절차 위반 시 받을 수 있는 제재 문장이고 참가 요건 절은 없음","입찰참가자격 제한 등에 관하여","위반 시 제재이지 참가 요건이 아님"
"RFP-000026","사업 개요","value_present","2025년도 중이온가속기용 극저온시스템 운전 용역","2025년도 중이온가속기용 극저온시스템 운전 용역","과업지시서","front_matter","{""document_id"":""RFP-000026"",""file"":""기초과학연구원_2025년도 중이온가속기용 극저온시스템 운전 용역.md"",""heading"":""2025년도 중이온가속기용 극저온시스템 운전 용역 과업지시서"",""line"":1}","2025년도 중이온가속기용 극저온시스템 운전 용역 과업지시서","","semantic_reviewed","","별도 사업명 항목이 없어 문서 제목의 현재 용역명을 사업 개요로 확정","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","문서 첫 줄의 공식 과업지시서 제목","field_absent","문서 제목에 현재 용역명이 명시돼 있음"
